Ительменское слово,Русское слово,Часть речи
эs-,вытекать,неп
anɬxaɬ-,вытирать,неп
ɬxa-,вытирать,п1
ɬxazo-,вытирать,п1
ɬxat-,вытирать,п1
ɬxazo-,вытираться,неп
fč'эs,вытопки жира,сущ
ɬintplэ-,вытряхивать,п1
ɬintplэt-,вытряхивать,п1
ɬэntplэzo-,вытряхивать,п1
awla-,выть,неп
txuŋ- неп ю.,вытягивать,
txuŋэt-,вытягивать,п1
sxoŋ-,вытягиваться,неп
ənamčэtə-,вытянуть руки,п1
pla-,вытянуться,неп
χamtzi-,вытянуться,неп
pxakɬ-,выхватывать,неп
χomstnŏm,выход,сущ
χumst-,выходить,неп
эs-,выходить,неп
qamzantэ-,выходить замуж,неп
qamzantэt-,выходить замуж,неп
χaqanʔэ-,выходить из себя,неп
χaqэni- неп с.,выходить из себя,
xomstat-,выходить многократно,неп
ip-,выходить на берег,неп
ipit-,выходить на берег,неп
эʔrma-,выходить на лед,неп
эsat-,выходить на поверхность,неп
čawa-,выходить навстречу,п2
xomstat-,выходить наружу,неп
atx-,выцветать,неп
atxsat-,выцветать,неп
xaɲčkэ,выше,нареч
waŋэ-,вышивать,п1
waŋэʔɬ-,вышивать,неп
waŋэč,вышивка,сущ
waŋэ-,вышивкой украшать,п1
waŋэʔɬ-,вышивкой украшать,неп
fjal,вьюга,сущ
korэmt,вьюк,сущ
xilχč,вязание сетей,сущ
omtsx,вязанка дров,сущ
omtat-,вязанки вязать,п1
omtsxэnэ-,вязать,п1
omtat-,вязать несколько вязанок,п1
ilwil-,вязать сеть,п1
intχzэsχ,вязка вяленой лососевой икры,сущ
nэzэsx,вязка гольцов,сущ
qulxum,вязок (деталь нарты),сущ
notan,вяленая рыба,сущ
patol,вяленое мясо,сущ
ənk'izwi-,вялить,п1
ənk'izwit-,вялить,п1
int'q'ɬ-,вянуть,неп
k'isxɬ-,вянуть,неп
jowaj,гагара,сущ
qaqaqrэ,гагара,сущ
uwiq,гагара,сущ
gaz,газ,сущ
gazetaʔ,газета,сущ
čxča-,галдеть,неп
χisi-,галопом скакать,неп
noʔŋqaʔɬ-,гасить,п1
ɬfэt-,гаснуть,неп
oŋq-,гаснуть,неп
oŋqsxэn-,гаснуть,неп
maʔ,где,мест
geolog,геолог,сущ
iza-,гибнуть,неп
gimn,гимн,сущ
ɬnэs,глава,сущ
alat-,гладить,п1
pilk'at-,гладить,п1
gladэʔɬ-,гладить утюгом,неп
iɬχlaχ,гладкий,прил
iɬχq,гладко,нареч
pslaŋsq,гладко,нареч
loŋ,глаз,сущ
ʎaŋočχ,глаз,сущ
luʔl,глаза,сущ
əɬč'эrwaʔn,глазные выделения,сущ
kэlkэl,глас,сущ
glasnoj,гласный,прил
nəmt'l-,глотать,п1
nəfəlk'a-,глотать,неп
tχlэtэ-,глотать,п1
ənfilk'a-,глотать жадно,п1
nəfəlk'a-,глотать с жадностью,неп
iʔnum,глоток воды,сущ
ilukэtə-,глохнуть,неп
amwarwan,глубина,сущ
ʷamʔam,глубина,сущ
ʷam-,глубокий,А
ʷamlaχ,глубокий,прил
ʷam-,глубоко,А
ʷamq,глубоко,нареч
ʷamʔam,глубокое место,сущ
wəlpu,глупец,сущ
aloqɬč'əm,глухарь,сущ
ʷkŭnxt,глухарь,сущ
kənfs,глухарь,сущ
aloqɬč'əm,глухой,сущ
ajtat-,гнать,п1
imzatэʔɬэ-,гнать рыбу в запор,п1
čanzo-,гнаться,п1
χaqanwarwan,гнев,сущ
χэqэwjэp,гнев,сущ
aʔasx-,гнездиться,неп
ʷaʔasx,гнездо,сущ
xunwun,гнида,сущ
suq-,гнить,неп
suqэt-,гнить,неп
t'ɬa-,гнить,неп
ŋilkti-,гноиться,неп
sk'altэ-,гноиться,неп
ŋilkŋilk,гной,сущ
sk'al,гной,сущ
sk'alэmč,гнойник,сущ
čэmэjkэ,гнус,сущ
ʷnaɬ-,гнуть,п1
ʷnaɬ-,гнуться,неп
anla-,говорить,неп
krwэɬxэt-,говорить,неп
la-,говорить,п2
ɬo-,говорить,п1
χэnэ-,говорить,неп
sэl-,говорить во сне,неп
ənʔi-,говорить серьезно,п1
ngukunguku,гоголи,сущ
god,год,сущ
qэčiɬan,годный,прил
sχniŋ,голенище торбаса,сущ
wiɬik'эčχ сущ с.,голец,
wəɬč сущ с.,голец,
sistxil,голец,сущ
fačq,голец,сущ
fiɬik',голец,сущ
fɬič,голец,сущ
čupэrk'э,голец запеченный,сущ
kэt'il,голец мелкий,сущ
ktxiŋ,голова,сущ
kəmt'qol сущ с.,голова,
čaqol,голова,сущ
lič сущ с.,голова рыбы,
xэwlič,голова рыбы,сущ
sitɬx,головешка,сущ
t'ozmaʔn,головки торбазов,сущ
aʔjuwʔaj,головной мозг,сущ
čaqolt'əl,головы часть,сущ
pilwэpil,голод,сущ
ksxlit-,голодать,неп
pilwit-,голодать,неп
pilwэpilʔan,голодающий,сущ
ksxlətnom,голодное место,сущ
ksxlət'in,голодный,прил
golos,голос,сущ
liŋil,голубика,сущ
lэŋэlnom,голубика,сущ
fiɬikэčχ,гольчик,сущ
ančanzoʔɬ-,гоняться,неп
namud сущ Ю.,гора,
ŋэjŋэ,гора,сущ
izusэ-,горбиться,неп
qэwčэʔɬ-,горбиться,неп
pэsčkɬ-,горбиться,неп
txap-,горбиться,неп
gorбuskэʔ,горбуша,сущ
qэwuč,горбуша,сущ
qэfč сущ с.,горбуша,
gordэʔɬ-,гордиться,неп
gordoj,гордый,прил
əmč'əmč',горе,сущ
əmč'la-,горевать,неп
k'wak'wum,горелое место,сущ
k'wak'-,гореть,п1
lu-,гореть,неп
krəwat-,гореть сильно,неп
okrat-,гореть сильно,неп
əmč'əmč',горечь,сущ
gorizont,горизонт,сущ
ŋэjŋal,гористая местность,сущ
kinziin,гористый,прил
k'ik',горло,сущ
k'ik',горловой вырез одежды,сущ
iʔnaq,горностай,сущ
ŋэjŋэʔin,горный,прил
qtэp,горный баран,сущ
ŋэjŋal,горный хребет,сущ
atnom,город,сущ
gorod,город,сущ
manzэsx,горсть,сущ
pklэl-,горсть,п2
pklэl,горсть,сущ
pklэlsxэn-,горсть,неп
k'ik'əlwič,гортань,сущ
krэ-,горчить,неп
əmč'a-,горчить,неп
aʔaɬo-,горшок,неп
ŋэjŋal,горы,сущ
čoɬxən,горы подошва,сущ
əmč'laχ,горький,прил
əmč'aq(a),горько,межд
əmč'q,горько,нареч
qilxэm,горячая,сущ
xkalaχ,горячий,прил
čən-,горячиться,неп
xkaq,горячо,нареч
akika,горячо!,межд
Аjэrэm,Господь,сущ
qэz-,гостей принимать,п2
gostinцaʔ,гостинец,сущ
эtχэlnom,гостиница,сущ
itχil-,гостить,неп
nəmtэlэ-,гостить,неп
ʷt'uɬχ,гость,сущ
gosudarstwo,государство,сущ
napraw-,готовить,п1
č'эqaɬil-,грабить,п1
graбʎaʔ,грабли,сущ
graжdanin,гражданин,сущ
nmitqэn,грамотный,прил
ntitilaχ,грамотный,прил
graniцaʔ,граница,сущ
txəmtx,гребень,сущ
nəčoɬaɬnŏŋ,грелка,сущ
gromэʔɬ-,греметь,неп
xӑrwӑrwa-,греметь,неп
xirwirwi-,греметь,неп
ənxэrwэrwэ-,греметь,п1
ɲэwɲэʔlkas,грести,неп
tэw-,грести,неп
tэjmэ-,грести,неп
noma-,греть,п1
omkaw-,греться,неп
omɬxat-,греться,неп
sokara-,греться,неп
čo-,греться,неп
эčk'эčk',грех,сущ
эčk'эɬ-,грешить,неп
эčk'эlaχ,грешный,прил
qponom,гриб,сущ
ipэsэsэqəl,гриб-дождевик,сущ
groza,гроза,сущ
əntɬŋa-,грозить,п1
xӑrwӑrwač,гром,сущ
ŋačk'эllaχ,громкий,прил
ŋačk'эlq,громко,нареч
čxča-,громко кричать,неп
tэpəl,громогласно,нареч
xӑrwӑrwač,грохот,сущ
ɬэruŋ-,грубить,неп
tajŋa-,грубить,неп
tiŋrэl,грудина,сущ
maɬaw,грудная клетка,сущ
nita,грудная клетка,сущ
t'k'oxč,грудной ласт нерпы,сущ
miʎačχ,грудной ребёнок,сущ
"wajatər nap.,",грудь,сущ
tiŋrэl,грудь животного,сущ
imɬ,груз,сущ
imɬti-,груз навьючивать,неп
wač,грузило для сети,сущ
niŋ-,грузить,п1
niŋ-,грузиться,неп
niŋit-,грузиться,неп
niŋiʔɬ-,грузиться,неп
argis,грузовая нарта,сущ
makoʔɬ-,грустить,неп
makoʔlaχ,грустный,прил
makoʔɬэs,грусть,сущ
čxq'эl-,грызть,неп
čxq'эl-,грызть,п1
č'al-,грызть,неп
č'al-,грызть,п1
kaɬimto-,грызть орехи,неп
kunэʔɬ-,грызть орехи,неп
grяdka,грядка,сущ
č'aɬaq,грязнуля,сущ
əlk'si,грязнуля,сущ
imɬlaχ,грязный,прил
ič'k'эlaχ,грязный,прил
fillalaχ,грязный,прил
čiŋuqэlaχ,грязный,прил
əlk'silaχ,грязный,прил
əlk'si,грязный,прил
kэɬč'al,грязь,сущ
kэɬč'alti-,грязью покрываться,неп
k'эlfɬэŋ,губа,сущ
ənzlэt-,гудеть,п1
ɬalэ-,гулять,неп
quɲэŋ,гурьбой,нареч
lwəlf,гусеница,сущ
woχaqəl,густая масса,сущ
č'imsqэ-,густеть,неп
tomlaχ,густое раскидистое дерево,прил
ɬinwэtat-,давать кому-либо работу,п1
əlʔiɬ-,давать указания,п1
t'q'ni-,давить,п2
əmptqэ-,давить,п1
t'q'ni-,давить кого-либо что-либо,п2
t'q'nэtэ-,давить кого-либо что-либо,п2
oŋ-,давиться,неп
it'эmɬ-,давиться пищей,неп
it'эnan,давний,прил
it'эnowan прил с.,давний,
it'эʔan прил с.,давний,
qaʔt it'э,давно,нареч
tэwut,даже,нареч
tэɬwэ,даже,нареч
qoɬ,дай,межд
t'aɬʔan,далекий,прил
mэč'aʔan,далёкий,прил
mэč'aŋ нареч с.,далеко,
t'aɬk,далеко,нареч
mэč'ak,далеко (где),нареч
mэč'akэ,далеко (куда),нареч
t'aɬkэ,далеко (туда),нареч
эʔlq,далеко друг от друга,нареч
χaqoq,далеко от берега,нареч
opsanka,дальневосточная лилия,сущ
məsxtlaχ,густой,прил
mэč'aʔan,дальний,прил
tomlaχ,дальний,прил
ʷtəmlaχ,дальний,прил
č'imslaχ,дальний,прил
qsas,гусь,сущ
fijas,гусь,сущ
χэqsas,гусь,сущ
qэʔris,гусь маленький,сущ
fijas,гусь-вожак,сущ
liɬi,да,межд
ээ,да,межд
qlэ,давай!,межд
xatta,давайте,межд
zil-,давать,п1
inkil-,давать,п1
ksota-,давать дорогу,неп
awэla-,давать знак,п1
χэlaʔɬ- t'aɬʔan,давать имя,п1
t'aɬxkmiŋk,дальше,нареч
nэnomk,дальше от берега,нареч
jasaq,дань,сущ
zil-,дарить,п1
k'aŋansa,дающий мало,прил
kasχ,два,числ
mantχzэsχ,рыбы,сущ
čamčam,дверца ловушки запора,сущ
sxzəm,дверца ловушки-«морды»,сущ
č'zэŋč сущ с.,дверца ловушки-«морды»,
nuč,дверь,сущ
usk'ŋ-,дверь подпирать,п1
tniɬ-,двигать,п1
ənsč'эlla-,двигать,п1
sč'эl-,двигаться,неп
dwor,двор,сущ
kэwэw,двухлентий лахтак,сущ
əmpquwəl,двухлетняя нерпа,сущ
iti-,деваться,неп
inpuɲɬχ,деверь,сущ
d'эfka,девка,сущ
ʎaŋэ,девочка,сущ
ʎaŋэčχ,девочка,сущ
эkuʎuшkačχ,девочка,сущ
эkэčχ,девочка-подросток,сущ
d'эfka,девушка,сущ
ʎaŋэ,девушка,сущ
эkэčχ,девушка,сущ
čaʔaktanak,девять,числ
mitx,дед,сущ
d'эd'učχ,дедушка,сущ
tnakol,дедушка,сущ
dэzuriʔɬ-,дежурить,неп
dэzurnoj,дежурный,сущ
iqax,действительно вправду,нареч
qlэ,действуй,межд
d'эkaбr,декабрь,сущ
sk-,делать,п1
č'эl-,делать,п2
č'эli-,делать,п2
ənsŋэt-,делать,п1
kaŋɬ-,делать запасы,неп
toɬ-,делать запасы сараны,неп
kəlwa-,делать зарубки,п1
ɬisxэpi-,делать назло,неп
poqɬ-,делать по большому,неп
əlχt-,делать привал,неп
kaɬxɬ-,делать стрелы,неп
silqэʔɬ-,делать толкушу,неп
ɬwa-,помощи,неп
sk-,делаться,неп
əltsэ-,делаться мягче,неп
izusэ-,делаться ниже,неп
delegat,делегат,сущ
dэʎi-,делить,п1
dэʎiʔɬ-,делить(ся),неп
skəs,дело,сущ
qɬχӑl,день,сущ
upk'эʔl,деньги,сущ
deputat,депутат,сущ
txnэtzo-,дергать,неп
txnэtzo-,дергать,п1
k'эmmatzo-,многократно,п2
aŋqan it-,дергаться,неп
oɬxэn,дерева верхушка,сущ
atnoʔan,деревенский,прил
atnom,деревня,сущ
